company_name,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,tree_prediction,average_momentum
B2B Pay,4.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,1,2.5597104886588977
"Blockchain Industries, Inc.",3.0,2.0,0.0,1.0,0.0,1.0,2150000.0,2.0,0.0,1,2.551346148830632
Digitzs,6.0,1.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,1,2.5378248638671868
Turtlemint,4.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1,2.537179198145854
Neosurance,4.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1,2.509085905015072
QuardLock,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1,2.495717275110576
AdYapper,4.0,2.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,1,2.4954040314472157
FindBoB,4.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1,2.4908827610310578
Xinja Bank,4.0,5.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1,2.4765068609323326
membersy,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2.4659548511475804
Moneytis,4.0,1.0,1.0,1.0,0.0,2.0,6000000.0,7.0,0.0,1,2.459492512180917
PayTap,2.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,1,2.4592431679150737
Declarando,2.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1,2.450232193600539
hypcloud,3.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1,2.4465666988134145
Ubersense,5.0,1.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,1,2.4325122639159966
Creditseva.com,3.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1,2.4300720155222093
Secfi,3.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1,2.4271171406037446
Delphia,3.0,2.0,0.0,0.0,0.0,16.0,0.0,7.0,1.0,1,2.412127344751575
TronWallet,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.406738868832731
Good Super,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.40560967444319
Alternative Derivatives Exchange,2.0,1.0,0.0,0.0,0.0,0.0,8315237.0,0.0,0.0,1,2.3962177904852155
iCommunity Labs,8.0,1.0,0.0,0.0,1.0,3.0,1894041.0,8.0,0.0,1,2.3961970027466135
Idea.me,2.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,1,2.393298763462304
Hash,2.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1,2.3850565366810854
NERVE CORP,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3804800634794683
trii,2.0,0.0,0.0,0.0,0.0,0.0,3250000.0,1.0,0.0,1,2.3804800634794683
Outpost,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3804800634794683
Portion,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1,2.3792968085047344
Spiking,5.0,1.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,1,2.3715517956486365
BOScoin,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.360736875524044
Crowdentials,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1,2.331157586252833
Helicap,3.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1,2.326304586043293
Combine,2.0,1.0,0.0,0.0,0.0,3.0,1182066.0,5.0,0.0,1,2.3232017923950026
XiaoBangGuiHua,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1,2.321587250694812
IPOhub,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1,2.3200433999121315
Divvy,4.0,4.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,1,2.31867368232974
+Simple.fr,3.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1,2.3117526790935115
PayTabs,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1,2.3093234511235594
PayPo,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2.3040714770356336
TESSA,2.0,1.0,1.0,0.0,0.0,0.0,5150000.0,3.0,0.0,1,2.3006813556322454
taxProper,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1,2.2924340383084316
Gaia Japan,4.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1,2.2899306386198788
Goodtime Labs,3.0,1.0,0.0,1.0,1.0,12.0,0.0,6.0,0.0,1,2.277678748266983
Halan,6.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1,2.275544554586523
CampusLogic,5.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1,2.2727358801446416
ADAB Solutions,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.268471808198933
Opencasa.com,2.0,1.0,0.0,0.0,1.0,1.0,5200000.0,2.0,0.0,1,2.2650635239619885
Bluzelle,7.0,4.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,1,2.264561506839533
Kaching,5.0,1.0,0.0,1.0,1.0,3.0,0.0,11.0,0.0,1,2.2504813105312644
FintechOS,3.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1,2.2432121575131108
Flux Systems,4.0,2.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,1,2.231428016227384
Upside,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1,2.2281639928698747
Limepay,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1,2.2041482069254337
Plentina,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,2.2032268341119066
Wyre,6.0,2.0,1.0,1.0,0.0,13.0,0.0,6.0,0.0,1,2.196939063220087
ePaisa - enabling commerce,4.0,1.0,0.0,1.0,1.0,3.0,0.0,12.0,0.0,1,2.1922087947781463
Marginize,8.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,1,2.1883299556689115
Toast,3.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,1,2.1867366291607166
Zamna,8.0,1.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,1,2.1732788469602893
tabby,4.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1,2.171998670015116
String Labs,3.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1,2.167500261650038
e-BIT Inc,2.0,1.0,0.0,0.0,0.0,0.0,12525000.0,1.0,0.0,1,2.164502164502164
BILL BEAR,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.163068826575888
Common Computer,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1,2.155133868688856
uf-club.com,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.1509552676491377
Axle,6.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1,2.1493453105060496
Panta Group,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.1478322236200182
Mercury,3.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,1,2.1478322236200174
Korea Credit Data,8.0,3.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,1,2.1445666255885247
BestSign,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2.141020639463611
SafeRE,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,2.1393912320878354
Treyd,2.0,0.0,0.0,0.0,0.0,3.0,4770000.0,0.0,0.0,1,2.133205909833653
Mucfc.com,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.1267440754548934
UNest,4.0,2.0,0.0,0.0,0.0,10.0,0.0,16.0,0.0,1,2.113707615466169
Profile Pensions,4.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1,2.109850865947871
Telr,3.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1,2.100869676631094
OPEN,5.0,3.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,1,2.0895780479545882
Fundastik Kft,2.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,1,2.0786290625843384
TNG FinTech Group Inc.,4.0,4.0,1.0,1.0,0.0,2.0,117850000.0,7.0,0.0,1,2.074956807245005
Datia,3.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1,2.0700321801296027
Remote,2.0,2.0,0.0,1.0,0.0,9.0,0.0,11.0,1.0,1,2.06998266389519
Visible Market Inc.,3.0,1.0,0.0,0.0,0.0,8.0,3800000.0,2.0,0.0,1,2.064714037105863
ERNIT,6.0,1.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,1,2.0473925369554444
Qudian,7.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1,2.04270154804657
Wealthnavi,7.0,5.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,1,2.042552990268012
"SPARE CS, INC",4.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0.0,1,2.0412186037463087
Coda Payments,8.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1,2.0395417111756977
Finom,2.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1,2.036511687227509
Brickbro,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.036121759580078
Baubap,4.0,1.0,1.0,0.0,0.0,6.0,1055000.0,2.0,1.0,1,2.005827834498031
webRunes,2.0,0.0,0.0,1.0,0.0,0.0,1560000.0,6.0,0.0,1,2.0056157240272756
Origin,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1,2.0052135552436336
JustInvesting,2.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,1,2.0044250154016905
Smartr365,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1,2.0021336778979344
WeVestr,2.0,1.0,0.0,0.0,0.0,2.0,6346675.0,0.0,0.0,1,1.9985791704252704
Dynamic Division,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.9933973472722921
Yuyan,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1,1.9878411673390282
Youxin Pu Hui,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.9868556436241744
QuantCube Technology,3.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1,1.983839966016009
LinKids,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.983826019335736
SKALE Labs,6.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1,1.9824147849088638
Digital Onboarding,4.0,2.0,1.0,0.0,0.0,2.0,2580000.0,5.0,0.0,1,1.9772361207917888
Globacap,5.0,2.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,1,1.976995669293744
AsiaKredit,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1,1.9735424901169831
SoMoLend,4.0,1.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,1,1.973100619486032
Credit Engine,2.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,1,1.9707850513344167
Reesio,4.0,1.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,1,1.969131766008615
Balko,2.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1,1.9621195507900413
Kosh,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1,1.9621195507900413
ANote Music - Sound investments,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1,1.9619446226832995
Kudimoney,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1.9580838915880816
Weidai,4.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1,1.9527655342867387
Linius Technologies,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,1.9445861598216683
Block360.Pro,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,1.9445075295353185
Pleo,5.0,3.0,0.0,1.0,0.0,6.0,0.0,16.0,0.0,1,1.9426832484960703
CoinJar,4.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,1,1.9391587956304863
Allovue,6.0,2.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,1,1.938223020178212
DoxyChain,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9362966448336865
Tribal Credit,4.0,1.0,1.0,1.0,0.0,20.0,0.0,18.0,0.0,1,1.9342355743707988
FacilitaPay,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.9215686274509804
Agicap,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1,1.9214218830307284
Weavr,2.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,1,1.9183265110042467
Liuv,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1,1.917955136639224
gupiaoxianji,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9131753316843343
Mythical Games,4.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1,1.9104579526847008
USDX Wallet,2.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1,1.9101102133593109
FloatMe,5.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,1,1.909078709874808
Metafused,9.0,1.0,0.0,0.0,0.0,3.0,1869549.0,5.0,0.0,1,1.9087366592203887
symmetrical.ai,4.0,1.0,0.0,0.0,0.0,13.0,0.0,10.0,1.0,1,1.9066134947982707
Finrise,2.0,1.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,1,1.906292125651884
Tykoon,2.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,1,1.8963296213225904
Qoins,4.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1,1.896103896103896
Uphold,2.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1,1.8943070063913428
Samlino.dk,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1,1.8941765367964551
PayFi,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1,1.893999156437456
Witnet Foundation,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1,1.8929548260201987
BTCBOX,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.888191618596301
Brex,10.0,4.0,1.0,1.0,0.0,2.0,0.0,11.0,3.0,1,1.886491367809632
Addi,5.0,3.0,0.0,0.0,0.0,4.0,0.0,11.0,1.0,1,1.880068145977144
Bitnet Technologies,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1,1.8738581177095208
Payhawk,3.0,1.0,0.0,1.0,0.0,18.0,5296599.0,5.0,0.0,1,1.8642081991416641
Factris,4.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1,1.8596598926021208
"TradeRocket, Inc.",3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1.8575991461705568
Moula,3.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1,1.8572473157367169
EASYRONG,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,1.8521074773609951
Quantstamp,3.0,1.0,0.0,0.0,0.0,9.0,0.0,17.0,1.0,1,1.852080123266564
Flender Peer-to-Peer Finance,9.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1,1.8501123369097805
Advanon,4.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1,1.838889665372372
Wawllet Enterprises Limited,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.8356164383561644
Piggyvest,2.0,1.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,1,1.826086956521739
Linked Finance,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1,1.8258628966723072
Cobee,4.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,1,1.82424102036822
Dividend Finance,7.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1,1.8242235492129544
Returnly,3.0,3.0,0.0,1.0,1.0,10.0,0.0,14.0,1.0,1,1.8238363828795503
CartCrunch,4.0,1.0,0.0,0.0,1.0,12.0,0.0,8.0,0.0,1,1.8232269633204143
BlueX Trade,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1,1.823078562826325
Wonderbucks Berhad,6.0,1.0,0.0,0.0,0.0,2.0,52934493.0,2.0,0.0,1,1.8196944230084624
Dyme,4.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1,1.8175520855172744
DAYLI Financial Group,4.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1,1.8174297270032207
Atom Finance,2.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,1,1.8118919101133064
DrGroup,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1.8083900005194784
Young Alfred,3.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1,1.8042017630371845
Capitolis,5.0,3.0,1.0,0.0,0.0,2.0,0.0,14.0,2.0,1,1.7970871391251688
Stackin',6.0,3.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,1,1.790065954986414
STILT,7.0,1.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,1,1.7893771121949489
Gatsby,7.0,1.0,1.0,0.0,0.0,15.0,0.0,5.0,0.0,1,1.785492209568817
Payable,3.0,1.0,0.0,1.0,0.0,11.0,0.0,3.0,0.0,1,1.7837837837837838
SPOKO,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1.7825311942959
Tongbanjie,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1,1.7825311942958997
Koudai Jizhang,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1.7824257927548242
Quadrant.io,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1,1.7718697146881717
ChainsGuard,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1.7716232801854537
Updraft,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1,1.7708381035407057
Hubox Wallet,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.769943967245556
SubsBase,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1,1.769754888947881
StarkWare Industries Ltd.,2.0,2.0,0.0,0.0,0.0,11.0,0.0,5.0,1.0,1,1.7697548889478805
Reloyalty,3.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1,1.7689751581663815
EVOLLIS,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1,1.7688618175940058
SprinkleBit,7.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1,1.7656920157410856
Public Good Software,2.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,1,1.7645868185364673
Fivestars,7.0,5.0,0.0,1.0,0.0,8.0,0.0,27.0,0.0,1,1.7645321839512786
Oddup,5.0,2.0,0.0,0.0,0.0,13.0,1100000.0,5.0,1.0,1,1.764009052875024
Geowox,4.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1,1.76103347995781
Pathao,5.0,2.0,0.0,1.0,1.0,4.0,0.0,17.0,0.0,1,1.7602862647752875
Motif,6.0,6.0,0.0,0.0,0.0,1.0,0.0,22.0,2.0,1,1.7581301640548574
Just Auto Insurance,3.0,1.0,0.0,0.0,0.0,10.0,9200000.0,4.0,0.0,1,1.7542415972234382
Korbit,5.0,2.0,1.0,1.0,0.0,11.0,0.0,6.0,0.0,1,1.7536080730083994
Qilu Guquan Jiaoyi Zhongxin,4.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1.7523031543559504
Polaroo,3.0,1.0,0.0,1.0,0.0,1.0,7805935.0,3.0,0.0,1,1.7440028884806262
Affordplan,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1,1.7316254844681325
XCLAIM,2.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1,1.7284320915877267
YipitData,2.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1,1.7214856054501515
One Credit,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.7209302325581397
RealCrowd,5.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,1,1.7209302325581397
Algomi,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1,1.7190991920233791
WeSavvy,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1,1.719022064042765
Epsor,2.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1,1.7162573062129214
HappyPal,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1.7161250823276224
MiFinanzas,2.0,1.0,0.0,0.0,0.0,0.0,2930000.0,5.0,0.0,1,1.709705207367514
Maptia,2.0,1.0,0.0,0.0,0.0,4.0,3100000.0,3.0,0.0,1,1.7094991167587883
OLTA,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1,1.703059409614651
